,,,,,,,
,,,,,,,
Site Name,Services Delivered at Site,Health Center Type,Health Center Location Type,Health Center Location Setting,County,State,Grant #
Albany Family Medical Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Clinton County,KY,H80CS08218
AZA HEALTH,No,Administrative,Permanent,Unknown,Putnam County,FL,H80CS00081
Mom and Baby Mobile Health Center,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Maricopa County,AZ,H80CS12848
Waits River Valley School,Yes,Service Delivery Site,Seasonal,School,Orange County,VT,H80CS06658
Mobile Dental Unit.,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Jackson County,MO,H80CS00599
Healthy Connections-DeQueen Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Sevier County,AR,H80CS00279
COMMUNITY HEALTH CENTERS SANTA MARIA,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Santa Barbara County,CA,H80CS00621
Neighborhood Medical Center Havana Magnet School,Yes,Service Delivery Site,Seasonal,School,Gadsden County,FL,H80CS26803
"Horizon Health Services, Inc. Administrative Office",No,Administrative,Permanent,Unknown,Southampton County,VA,H80CS00352
Serve The People Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Orange County,CA,H80CS26627
Eastern Iowa Health Center - Pediatrics,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Linn County,IA,H80CS08226
Missouri Highlands Neelyville School Clinic,Yes,Service Delivery Site,Permanent,School,Butler County,MO,H80CS00703
Mobile Medical Unit #4,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Kennebec County,ME,H80CS00443
PHSC WELLNESS CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Ouachita Parish,LA,H80CS00754
The Southside Community Health Center of Greater Richmond,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Richmond City,VA,H80CS00018
G.A. CARMICHAEL FAMILY HLTH CTR,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Yazoo County,MS,H80CS00484
FHH Behavioral Health Clinic - Eastern Elementary,Yes,Service Delivery Site,Permanent,School,Washington County,MD,H80CS00857
Harbor Care Health and Wellness Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Hillsborough County,NH,H80CS12867
Community Health Services at Windsor,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Capitol Planning Region,CT,H80CS00612
HopeHealth Manning School-based Health Center,Yes,Service Delivery Site,Seasonal,School,Clarendon County,SC,H80CS08240
Mary Isaak Homeless Shelter  Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Sonoma County,CA,H80CS00587
San Ysidro Health Julian Family Dental,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Diego County,CA,H80CS10748
Globe Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Gila County,AZ,H80CS26606
ResourceCare - Baird on Peyton,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Callahan County,TX,H80CS06460
Rural Health Group at Roanoke Rapids,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Halifax County,NC,H80CS00866
CHS Sevierville Primary School Clinic,Yes,Service Delivery Site,Seasonal,School,Sevier County,TN,H80CS00309
Schuyler High School,Yes,Service Delivery Site,Seasonal,School,Colfax County,NE,H80CS00862
NorthLakes - Hurley,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Iron County,WI,H80CS08784
QUEENS HEALTH CENTER SITE,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Queens County,NY,H80CS00597
Red Oak Elementary,Yes,Service Delivery Site,Seasonal,School,Jessamine County,KY,H80CS00422
Hope Recuperative Care,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Clark County,NV,H80CS28967
ARcare - 009,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Benton County,AR,H80CS00207
MHC Counseling and Wellness Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pima County,AZ,H80CS00231
ACHCH Tiburcio Vasquez Health Center Zone 3 Street Health Mobile Unit,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Alameda County,CA,H80CS00047
PanCare - Bonifay,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Holmes County,FL,H80CS06452
NUESTRA CLINICA DEL VALLE - EDCOUCH,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Hidalgo County,TX,H80CS00209
GFHC Mobile Health Unit,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Southeastern Connecticut Planning Region,CT,H80CS00155
Family Medical Center - Noble Elementary-Middle School,Yes,Service Delivery Site,Permanent,School,Wayne County,MI,H80CS00390
LACHC Mobile Medical Van #1,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Los Angeles County,CA,H80CS06674
Liberal High School School-Based Behavioral Health Program,Yes,Service Delivery Site,Permanent,School,Seward County,KS,H80CS00838
Blue Ridge Health - Swain County High School,Yes,Service Delivery Site,Seasonal,School,Swain County,NC,H80CS00650
Audubon Area Community Care Clinic - Cravens Elementary School,Yes,Service Delivery Site,Permanent,School,Daviess County,KY,H80CS30714
Wesley Health Centers - Zonal Ave,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS06673
ARcare - 107,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Craighead County,AR,H80CS00207
Jewett School,Yes,Service Delivery Site,Permanent,School,Hancock County,ME,H80CS00591
GMHC Mobile Access Unit,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Lauderdale County,MS,H80CS00439
GPW Health Center - Woodbridge,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Prince William County,VA,H80CS12871
CFHC Mobile Unit 1,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Highlands County,FL,H80CS00423
Via Care Bellflower Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS26617
Coastal Family Pharmacy - Biloxi,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Harrison County,MS,H80CS00188
