state,county_name,is_hpsa,is_mua
AK,Aleutians East Borough,True,True
AK,Aleutians West Census Area,True,True
AK,Anchorage Borough,True,True
AK,Bethel Census Area,True,True
AK,Bristol Bay Borough,True,True
AK,Chugach Census Area,True,False
AK,Copper River Census Area,True,False
AK,Denali Borough,True,True
AK,Dillingham Census Area,True,True
AK,Fairbanks North Star Borough,True,True
AK,Haines Borough,True,True
AK,Hoonah-Angoon Census Area,True,True
AK,Juneau Borough,True,True
AK,Kenai Peninsula Borough,True,True
AK,Ketchikan Gateway Borough,True,True
AK,Kodiak Island Borough,True,True
AK,Kusilvak Census Area,True,True
AK,Lake And Peninsula Borough,True,True
AK,Matanuska-Susitna Borough,True,True
AK,Nome Census Area,True,True
AK,North Slope Borough,True,True
AK,Northwest Arctic Borough,True,True
AK,Not Determined,True,False
AK,Petersburg Borough,True,False
AK,Prince Of Wales-Hyder Census Area,True,True
AK,Sitka Borough,True,False
AK,Skagway Municipality,True,True
AK,Southeast Fairbanks Census Area,True,True
AK,Valdez-Cordova Census Area,True,False
AK,Wrangell City And Borough,True,True
AK,Yakutat Borough,True,True
AK,Yukon-Koyukuk Census Area,True,True
AL,Autauga,True,True
AL,Baldwin,False,True
AL,Barbour,True,True
AL,Bibb,True,True
AL,Blount,True,True
AL,Bullock,True,True
AL,Butler,True,True
AL,Calhoun,True,True
AL,Chambers,True,True
AL,Cherokee,True,True
AL,Chilton,False,True
AL,Choctaw,True,True
AL,Clarke,True,True
AL,Clay,True,True
AL,Cleburne,True,True
AL,Coffee,True,True
AL,Colbert,True,True
AL,Conecuh,True,True
AL,Coosa,True,True
AL,Covington,False,True
AL,Crenshaw,True,True
AL,Cullman,True,True
AL,Dale,True,True
AL,Dallas,True,True
AL,Dekalb,True,True
AL,Elmore,True,True
AL,Escambia,True,True
AL,Etowah,True,True
AL,Fayette,True,True
AL,Franklin,True,True
AL,Geneva,True,True
AL,Greene,True,True
AL,Hale,True,True
AL,Henry,True,True
AL,Houston,False,True
AL,Jackson,True,True
AL,Jefferson,True,True
AL,Lamar,True,True
AL,Lauderdale,True,True
AL,Lawrence,True,True
AL,Lee,True,True
AL,Limestone,False,True
AL,Lowndes,True,True
AL,Macon,True,True
AL,Madison,True,True
AL,Marengo,True,True
AL,Marion,True,True
AL,Marshall,True,True
AL,Mobile,True,True
AL,Monroe,True,True
AL,Montgomery,True,True
AL,Morgan,True,True
AL,Perry,False,True
AL,Pickens,True,True
AL,Pike,True,True
AL,Randolph,True,True
AL,Russell,True,True
AL,Shelby,False,True
AL,St. Clair,False,True
AL,Sumter,True,True
AL,Talladega,True,True
AL,Tallapoosa,True,True
AL,Tuscaloosa,True,True
AL,Walker,True,True
AL,Washington,True,True
AL,Wilcox,True,True
AL,Winston,False,True
AR,Arkansas,True,True
AR,Ashley,True,True
AR,Baxter,True,True
AR,Benton,True,True
AR,Boone,True,False
AR,Bradley,False,True
AR,Calhoun,True,True
AR,Carroll,True,True
AR,Chicot,True,True
AR,Clark,True,True
AR,Clay,True,True
AR,Cleburne,True,True
AR,Cleveland,True,True
AR,Columbia,True,True
AR,Conway,False,True
AR,Craighead,True,True
AR,Crawford,True,True
AR,Crittenden,True,True
AR,Cross,True,True
AR,Dallas,True,True
AR,Desha,True,True
AR,Drew,True,True
AR,Faulkner,True,True
AR,Franklin,True,True
AR,Fulton,True,True
AR,Garland,False,True
AR,Grant,True,False
AR,Greene,True,True
AR,Hempstead,True,True
AR,Hot Spring,True,True
AR,Howard,True,True
AR,Independence,True,True
AR,Izard,True,True
AR,Jackson,True,True
AR,Jefferson,True,True
AR,Johnson,True,True
AR,Lafayette,True,True
AR,Lawrence,True,True
AR,Lee,True,True
AR,Lincoln,True,True
AR,Little River,True,True
AR,Logan,True,True
AR,Lonoke,True,True
AR,Madison,True,True
AR,Marion,True,True
AR,Miller,True,True
AR,Mississippi,True,True
AR,Monroe,True,True
AR,Montgomery,True,True
AR,Nevada,True,True
AR,Newton,True,True
AR,Ouachita,True,True
AR,Perry,True,True
AR,Phillips,True,True
AR,Pike,True,True
AR,Poinsett,True,True
AR,Polk,True,True
AR,Pope,True,True
AR,Prairie,True,True
AR,Pulaski,True,True
AR,Randolph,False,True
AR,Saline,False,True
AR,Scott,True,True
AR,Searcy,True,True
AR,Sebastian,True,True
AR,Sevier,True,True
AR,Sharp,True,True
AR,St. Francis,True,True
AR,Stone,True,True
AR,Union,True,True
AR,Van Buren,True,True
AR,Washington,True,True
AR,White,True,True
AR,Woodruff,True,True
AR,Yell,True,True
AS,Eastern District,True,True
AS,Manu'A District,True,True
AS,Rose Island,True,True
AS,Swains Island,True,True
AS,Western District,True,True
AZ,Apache,True,True
AZ,Cochise,True,True
AZ,Coconino,True,True
AZ,Gila,True,True
AZ,Graham,True,True
AZ,Greenlee,True,True
AZ,La Paz,True,True
AZ,Maricopa,True,True
AZ,Mohave,True,True
AZ,Navajo,True,True
AZ,Pima,True,True
AZ,Pinal,True,True
AZ,Santa Cruz,True,True
AZ,Yavapai,True,True
AZ,Yuma,True,True
CA,Alameda,True,True
CA,Alpine,True,False
CA,Amador,True,True
CA,Butte,True,True
CA,Calaveras,True,False
CA,Colusa,True,False
CA,Contra Costa,True,True
CA,Del Norte,True,True
CA,El Dorado,True,True
CA,Fresno,True,True
CA,Glenn,True,True
CA,Humboldt,True,True
CA,Imperial,True,True
CA,Inyo,True,True
CA,Kern,True,True
CA,Kings,True,True
CA,Lake,True,True
