org_npi,avg_mips_score,mips_clinician_count
1003000274,0.0,1
1003000308,75.0,1
1003000399,0.0,4
1003001066,98.5,1
1003001538,87.66,1
1003002759,84.93,20
1003003237,75.0,1
1003003351,22.98,1
1003004086,100.0,1
1003004276,56.09,7
1003004284,29.51,2
1003005083,100.0,2
1003005356,90.94,2
1003005703,88.82,1
1003005711,97.83,1
1003005752,29.06,1
1003005893,75.0,1
1003006156,75.0,1
1003006743,90.36,3
1003007840,75.0,1
1003008665,85.72,2
1003009846,78.07,2
1003011594,97.02,2
1003014192,75.0,1
1003014234,75.0,1
1003014770,93.51,1
1003015074,0.0,1
1003015660,82.34,2
1003016312,80.94,6
1003017823,92.78,3
1003019878,25.88,2
1003020017,15.94,1
1003021296,0.0,3
1003024423,82.04,3
1003024563,0.0,1
1003026204,93.89,3
1003026253,67.42,1
1003026477,92.48,1
1003026717,92.48,2
1003027079,91.47,7
1003028770,76.74,9
1003029455,95.06,30
1003029786,75.0,4
1003030974,0.0,1
1003031600,59.13,1
1003031923,0.0,2
1003031931,89.28,1
1003032509,75.0,1
1003032723,93.79,2
1003033861,52.45,2
1003034737,82.28,5
1003035361,66.38,1
1003037722,82.65,14
1003040502,81.85,22
1003040767,74.76,21
1003044942,79.9,12
1003045113,58.71,2
1003047184,88.97,4
1003049032,80.85,3
1003050436,96.12,1
1003052549,100.0,2
1003053398,36.21,1
1003054909,62.08,1
1003055203,75.3,4
1003057498,44.75,1
1003058363,91.07,1
1003060369,89.9,2
1003061078,89.01,1
1003061656,84.17,1
1003062043,83.34,33
1003069014,76.52,5
1003071200,29.66,1
1003072620,86.44,3
1003072901,75.0,1
1003075029,79.83,66
1003077488,16.07,1
1003079799,71.77,66
1003080326,98.52,1
1003083387,90.83,7
1003084112,94.1,2
1003084351,75.0,1
1003084674,100.0,1
1003085648,82.58,3
1003087313,100.0,1
1003088394,100.0,1
1003089525,84.94,1
1003090457,95.51,2
1003090705,74.61,1
1003090812,74.06,1
1003090879,78.7,14
1003090937,64.4,3
1003091141,82.02,2
1003091950,100.0,1
1003093436,91.09,13
1003093519,19.21,1
1003095084,97.17,28
1003095357,67.26,1
1003095688,96.6,2
1003095746,75.0,1
1003096900,5.62,1
1003096991,0.0,1
1003098138,93.72,2
1003098245,90.83,4
1003098252,96.1,11
1003098773,83.14,101
1003098898,73.0,2
1003099367,76.8,2
1003099904,8.1,1
1003100058,86.9,1
1003101262,89.47,14
1003101270,75.0,1
1003101510,0.0,1
1003103276,0.0,1
1003105644,75.0,2
1003110164,95.0,1
1003111923,74.99,1
1003112558,29.18,1
1003112731,99.33,1
1003114851,94.58,414
1003116823,74.26,3
1003119108,95.62,1
1003119694,84.41,1
1003120411,99.75,12
1003123282,98.83,1
1003124421,84.21,11
1003129719,97.64,1
1003129784,87.4,10
1003130261,78.92,6
1003130543,0.0,1
1003134024,40.92,4
1003134388,92.98,1
1003135633,100.0,1
1003136466,100.0,1
1003137274,90.09,1
1003139387,73.08,30
1003143652,46.49,3
1003143660,33.74,2
1003144197,75.0,3
1003145483,81.39,1
1003146705,77.65,1
1003146721,93.03,1
1003147158,75.0,1
1003148727,90.69,1
1003148909,0.0,1
1003150962,90.78,54
1003151424,93.86,1
1003151671,82.07,19
1003152208,90.82,3
1003152273,69.52,8
1003152984,87.96,13
1003154519,66.38,1
1003155284,79.64,1
1003155821,89.8,16
1003156670,81.31,1
1003162058,84.9,4
1003163320,100.0,1
1003164104,85.41,3
1003165259,80.74,45
1003168907,87.26,2
1003168923,77.8,8
1003170226,78.69,2
1003172628,70.44,14
1003172800,77.44,1
1003174087,82.4,1
1003178393,86.07,1
1003178922,46.69,3
1003179656,79.29,2
1003180217,93.44,2
1003181637,78.41,26
1003182437,80.52,1
1003184979,75.0,1
1003185125,92.71,3
1003186255,75.55,2
1003187071,83.85,2
1003187964,69.07,1
1003192162,75.0,1
1003193046,90.38,2
1003195942,83.53,1
1003197328,75.0,2
1003199076,100.0,1
1003200015,81.75,1
1003201955,82.11,9
1003203084,99.89,1
1003204074,71.79,1
1003204769,95.08,1
1003205873,80.67,1
1003206954,89.67,1
1003207002,97.24,1
1003207580,100.0,6
1003209495,0.0,1
1003209727,82.71,2
1003211194,98.61,3
1003214396,76.41,3
1003216391,67.6,38
1003216516,4.5,3
1003217712,67.99,16
1003218397,75.0,1
1003221243,90.95,9
1003221706,75.0,1
1003224924,83.22,2
1003227414,91.19,1
1003230236,85.79,91
1003231754,0.0,1
1003233743,49.8,2
1003235508,85.24,3
1003236001,89.63,1
1003237470,90.38,1
1003238395,92.43,2
1003238569,66.04,1
1003238635,88.33,47
1003239054,62.5,6
1003243072,99.4,1
1003244567,84.35,2
1003246299,83.99,13
1003246950,75.0,1
1003247073,93.74,2
1003248238,62.44,3
1003248436,98.07,3
1003251653,87.18,1
1003251950,89.71,1
1003252834,87.5,2
1003253030,74.61,6
1003254343,92.7,1
1003256462,0.0,1
1003257601,77.45,1
1003258484,96.56,9
1003259060,64.96,1
1003259433,74.45,6
1003259946,75.0,1
1003260100,79.29,3
1003261504,94.96,1
1003263807,92.07,32
1003264607,84.59,12
1003265497,93.97,1
1003268087,79.33,20
1003271354,87.26,3
1003272980,75.0,3
1003273095,94.86,1
1003274168,78.93,4
1003275413,92.76,1
1003277195,0.0,1
1003277229,100.0,1
1003280108,82.06,123
1003280421,92.04,7
1003280587,86.71,1
1003282278,87.51,4
1003284423,83.06,4
1003286931,0.0,1
1003290453,89.27,7
1003290578,89.2,1
1003290792,17.06,1
1003292483,75.0,3
1003292954,93.99,1
1003293366,61.19,12
1003294083,75.0,3
1003295767,75.0,1
1003296070,92.07,1
1003298340,87.41,2
1003299181,73.03,2
1003302712,75.0,1
1003302886,0.0,1
1003302951,75.0,1
1003303082,94.63,3
1003304049,82.69,2
1003304874,75.0,1
1003305236,0.0,2
1003306168,81.96,23
1003309444,75.0,3
1003309865,0.0,1
1003310061,84.36,6
1003314873,84.11,1
1003317785,77.11,33
1003318593,69.5,1
1003319096,82.8,4
1003319492,34.06,6
1003319500,90.24,42
1003320672,99.35,16
1003320706,19.66,1
1003320946,72.62,4
1003321621,82.95,1
1003321969,88.33,48
1003323155,93.71,1
1003327545,100.0,1
1003328824,84.76,2
1003336041,0.0,1
1003336181,75.0,1
1003337528,94.5,35
1003338963,36.71,2
1003340217,87.19,1
1003342213,83.97,1
1003344607,73.42,14
1003346404,8.5,1
1003349044,23.86,1
1003353020,13.58,1
1003355207,96.98,80
1003358110,78.85,1
1003361163,96.36,1
1003361494,88.13,1
1003362450,75.0,2
1003366188,85.0,4
1003366675,62.95,3
1003368937,86.26,1
1003373069,82.1,4
1003375650,82.79,12
1003379108,92.17,6
1003381799,29.58,3
1003383050,86.1,1
1003383308,67.44,10
1003384686,5.33,1
1003385055,90.57,2
1003387044,54.02,4
1003389636,75.0,1
1003390394,88.97,1
1003393299,82.53,3
1003393679,87.01,14
1003397530,93.1,1
1003400508,90.76,3
1003402660,100.0,1
1003402884,75.0,1
1003403163,78.31,2
1003406539,75.48,2
1003406711,80.93,105
1003406851,75.0,1
1003407586,98.3,1
1003407735,72.6,13
1003407883,77.59,16
1003409061,80.2,142
1003409301,84.6,2
1003409400,91.96,1
1003412842,87.54,2
1003413139,55.07,3
1003414921,75.8,1
1003415522,85.26,1
1003419664,0.0,1
1003424490,68.47,1
1003425836,0.0,1
1003426297,86.11,1
1003427725,91.39,6
1003427873,59.17,4
1003432204,0.0,1
1003434762,79.13,14
1003436932,75.0,2
1003440355,87.83,5
1003441429,8.66,1
1003443185,33.27,1
1003443722,88.02,4
1003446261,84.43,7
1003446857,90.11,1
1003448952,75.0,1
1003448994,86.2,38
1003449612,25.61,1
1003450842,79.78,2
1003452178,79.27,1
1003452301,61.66,4
1003452681,75.0,3
1003453051,76.52,6
1003453317,90.12,2
1003454448,100.0,4
1003455643,86.42,1
1003456229,87.31,6
1003457482,98.15,3
1003458415,0.0,1
1003458704,81.32,4
1003460874,87.85,3
1003464033,88.9,3
1003466822,80.81,1
1003469370,0.0,1
1003469479,80.44,3
1003470501,85.66,1
1003471269,13.51,1
1003471533,91.34,1
1003472721,0.0,1
1003473430,91.42,1
1003476508,73.29,6
1003478744,75.0,1
1003479288,80.18,1
1003481201,82.46,3
1003484734,75.0,2
1003485384,72.12,8
1003491549,78.72,11
1003496506,81.96,7
1003496902,79.85,1
1003502337,80.69,7
1003502386,42.5,3
1003503731,78.26,2
1003505389,67.22,1
1003507963,86.1,1
1003510322,90.86,1
1003516840,81.97,1
1003518663,100.0,1
1003521220,88.48,2
1003522350,94.18,1
1003523002,84.09,3
1003523192,89.92,1
1003524349,81.63,1
1003524430,97.58,1
1003524570,69.79,4
1003528258,76.27,1
1003529280,95.2,3
1003530502,83.58,1
1003532748,94.93,1
1003533969,100.0,2
1003535808,83.85,1
1003542069,88.97,1
1003542184,86.14,7
1003543190,100.0,1
1003543398,66.56,3
1003544388,80.97,1
1003547340,74.39,16
1003549767,41.5,2
1003551169,93.71,1
1003553439,82.02,2
